   ,  1         , 2         , 3         , 4         , 5          ,6         , 7         , 8         ,9        , 10        ,11         ,12         ,13        , 14        , 15        , 16         ,17        , 18         ,19        , 20         ,21        , 22
A  ,  947.0549  , 1653.60899, 817.01741 , 1059.6696 , 1358.67996 ,888.92892 , 952.46602 , 711.13636 ,747.12781, 688.60374 ,1283.66117 ,1089.93775 ,1537.99107, 898.37539 , 800.46219 , 1444.09628 ,1162.96125, 1218.59705 ,999.70563 , 1023.08888 ,851.44433 , 1132.41843
B  ,  1262.74148, 2204.90919, 1089.36179, 1412.89643, 1811.5757  ,1185.24219, 1269.95792, 948.18625 ,996.17243, 918.12622 ,1711.55226 ,1453.25477 ,2050.65839, 1197.82377, 1067.22847, 1925.46453 ,1550.61863, 1624.79889 ,1332.94568, 1364.12254 ,1135.26072, 1647.15936
C  ,  1073.32929, 1874.12786, 925.95492 , 1200.96009, 1539.83753 ,1007.45447, 1079.46278, 805.95559 ,846.7459 , 780.41249 ,1454.81688 ,1235.2648  ,1743.05824, 1018.14966, 907.14426 , 1636.64237 ,1318.02396, 1381.07706 ,1133.00286, 1159.50186 ,964.97137 , 1283.40949
D  ,  113.64199 , 198.1738  , 98.03178  , 127.14922 , 163.03056  ,106.66029 , 114.28571 , 85.32557  ,89.65011 , 82.66357  ,154.02816  ,130.78164  ,184.54799 , 107.80737 , 96.08005  , 173.28047  ,139.54446 , 146.22124  ,119.95577 , 122.75934  ,102.16877 , 135.87937
E  ,  75.75931  , 132.01826 , 65.34968  , 84.76292  , 108.68341  ,71.10323  , 76.18644  , 56.87968  ,59.76553 , 55.12155  ,102.68181  ,87.18413   ,123.02796 , 71.874    , 64.07071  , 115.51628  ,93.02601  , 97.47639   ,79.96648  , 81.83593   ,68.1109   , 90.58181
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
