    , 1                 ,2                 , 3                , 4                , 5                , 6                , 7                , 8                 ,9                , 10               , 11               , 12               , 13                ,14               , 15               , 16               , 17               , 18               , 19               , 20               , 21               , 22
A   , 2.83676771004942  ,0.361357750034231 , 2.4472589785832  , 3.17408896210873 , 2.25353694581281 , 2.66265963756178 , 2.85297594728171 , 2.13010741350906  ,2.23791466227348 , 2.06261416803954 , 2.12910910417807 , 3.2647528830313  , 2.55094636015326  ,2.69095518945634 , 2.39767018121911 , 2.39521036307243 , 3.48348434925865 , 2.4204229288774  , 2.99447545304778 , 3.06451663920923 , 2.55037990115321 , 3.39199769357496
B   , 3.78236177924217  ,0.298075361774427 , 3.26302767710049 , 3.73782270731432 , 3.00471994161649 , 3.550223723229   , 3.80397759472817 , 2.84015650741351  ,2.98389225700165 , 2.75011598023064 , 2.8388188286809  , 2.41040083926291 , 3.4012678343368   ,3.58791004942339 , 3.19673047775947 , 3.19361850027367 , 2.57189071337347 , 2.69492775041051 , 3.99264843492586 , 4.08603426688633 , 3.40051136738056 , 2.7320153256705
C   , 3.21500461285008  ,0.409537639907047 , 2.77356573311367 , 3.59730444810544 , 2.55400893997446 , 3.01768599670511 , 3.2333766062603  , 2.41412487644152  ,2.53630642504119 , 2.33761416803954 , 2.41299178981938 , 3.70005930807249 , 2.89107535121328  ,3.04972191103789 , 2.71722108731466 , 2.71457161101989 , 3.8655090032856  , 2.77424910037972 , 3.39374827018122 , 3.47312224052718 , 2.89043393739703 , 3.84426985172982
D   , 0.340398352553542 ,0.043304784, 0.293640197693575, 0.380857331136738, 0.270406130268199, 0.319485667215816, 0.342326523887974, 0.255580560131796 ,0.26853410214168 , 0.247606919275124, 0.255474548440066, 0.391737726523888, 0.306095420543696 ,0.3229215815486  , 0.287794069192751, 0.287406860062032, 0.41798550247117 , 0.294327108097722, 0.359310378912685, 0.367708072487644, 0.306031960461285, 0.396089057365999
E   , 0.226926194398682 ,0.028849361, 0.195745634266886, 0.253895222405272, 0.180264732713009, 0.212979571663921, 0.228205601317957, 0.170374958813839 ,0.17901911, 0.165108731466227, 0.170310344827586, 0.261147611202636, 0.204056923918993 ,0.215288303, 0.191914662273476, 0.191597883597884, 0.272913948504938, 0.195737961206571, 0.239528171334432, 0.24512784184514 , 0.20401647446458 , 0.271324876441516
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
